language,dimension,n_rows_after_target_filtering,n_numeric_features_used,n_dropped_numeric_metadata_columns,n_suspicious_name_features,n_zero_variance_features,n_near_zero_variance_features_95pct_same_value,feature_columns_file,suspicious_columns_file,dropped_numeric_columns_file
de,d1_illness_beliefs,233,98,5,0,10,18,D:\aaa_Desktop\Thesis\tcc_thesis\results\approach1\feature_audit\de\d1_illness_beliefs_feature_columns.csv,D:\aaa_Desktop\Thesis\tcc_thesis\results\approach1\feature_audit\de\d1_illness_beliefs_suspicious_columns.csv,D:\aaa_Desktop\Thesis\tcc_thesis\results\approach1\feature_audit\de\d1_illness_beliefs_dropped_numeric_columns.csv
de,d2_lack_of_knowledge,225,98,5,0,10,15,D:\aaa_Desktop\Thesis\tcc_thesis\results\approach1\feature_audit\de\d2_lack_of_knowledge_feature_columns.csv,D:\aaa_Desktop\Thesis\tcc_thesis\results\approach1\feature_audit\de\d2_lack_of_knowledge_suspicious_columns.csv,D:\aaa_Desktop\Thesis\tcc_thesis\results\approach1\feature_audit\de\d2_lack_of_knowledge_dropped_numeric_columns.csv
de,d3_cultural_factors,231,98,5,0,10,18,D:\aaa_Desktop\Thesis\tcc_thesis\results\approach1\feature_audit\de\d3_cultural_factors_feature_columns.csv,D:\aaa_Desktop\Thesis\tcc_thesis\results\approach1\feature_audit\de\d3_cultural_factors_suspicious_columns.csv,D:\aaa_Desktop\Thesis\tcc_thesis\results\approach1\feature_audit\de\d3_cultural_factors_dropped_numeric_columns.csv
de,d4_family_system,224,98,5,0,9,16,D:\aaa_Desktop\Thesis\tcc_thesis\results\approach1\feature_audit\de\d4_family_system_feature_columns.csv,D:\aaa_Desktop\Thesis\tcc_thesis\results\approach1\feature_audit\de\d4_family_system_suspicious_columns.csv,D:\aaa_Desktop\Thesis\tcc_thesis\results\approach1\feature_audit\de\d4_family_system_dropped_numeric_columns.csv
de,d5_ambiguity_tolerance,227,98,5,0,10,19,D:\aaa_Desktop\Thesis\tcc_thesis\results\approach1\feature_audit\de\d5_ambiguity_tolerance_feature_columns.csv,D:\aaa_Desktop\Thesis\tcc_thesis\results\approach1\feature_audit\de\d5_ambiguity_tolerance_suspicious_columns.csv,D:\aaa_Desktop\Thesis\tcc_thesis\results\approach1\feature_audit\de\d5_ambiguity_tolerance_dropped_numeric_columns.csv
en,d1_illness_beliefs,233,118,5,0,9,27,D:\aaa_Desktop\Thesis\tcc_thesis\results\approach1\feature_audit\en\d1_illness_beliefs_feature_columns.csv,D:\aaa_Desktop\Thesis\tcc_thesis\results\approach1\feature_audit\en\d1_illness_beliefs_suspicious_columns.csv,D:\aaa_Desktop\Thesis\tcc_thesis\results\approach1\feature_audit\en\d1_illness_beliefs_dropped_numeric_columns.csv
en,d2_lack_of_knowledge,225,118,5,0,11,26,D:\aaa_Desktop\Thesis\tcc_thesis\results\approach1\feature_audit\en\d2_lack_of_knowledge_feature_columns.csv,D:\aaa_Desktop\Thesis\tcc_thesis\results\approach1\feature_audit\en\d2_lack_of_knowledge_suspicious_columns.csv,D:\aaa_Desktop\Thesis\tcc_thesis\results\approach1\feature_audit\en\d2_lack_of_knowledge_dropped_numeric_columns.csv
en,d3_cultural_factors,231,118,5,0,9,28,D:\aaa_Desktop\Thesis\tcc_thesis\results\approach1\feature_audit\en\d3_cultural_factors_feature_columns.csv,D:\aaa_Desktop\Thesis\tcc_thesis\results\approach1\feature_audit\en\d3_cultural_factors_suspicious_columns.csv,D:\aaa_Desktop\Thesis\tcc_thesis\results\approach1\feature_audit\en\d3_cultural_factors_dropped_numeric_columns.csv
en,d4_family_system,224,118,5,0,9,26,D:\aaa_Desktop\Thesis\tcc_thesis\results\approach1\feature_audit\en\d4_family_system_feature_columns.csv,D:\aaa_Desktop\Thesis\tcc_thesis\results\approach1\feature_audit\en\d4_family_system_suspicious_columns.csv,D:\aaa_Desktop\Thesis\tcc_thesis\results\approach1\feature_audit\en\d4_family_system_dropped_numeric_columns.csv
en,d5_ambiguity_tolerance,227,118,5,0,9,29,D:\aaa_Desktop\Thesis\tcc_thesis\results\approach1\feature_audit\en\d5_ambiguity_tolerance_feature_columns.csv,D:\aaa_Desktop\Thesis\tcc_thesis\results\approach1\feature_audit\en\d5_ambiguity_tolerance_suspicious_columns.csv,D:\aaa_Desktop\Thesis\tcc_thesis\results\approach1\feature_audit\en\d5_ambiguity_tolerance_dropped_numeric_columns.csv
