feature,en_mean,en_std,de_mean,de_std,mean_diff_en_minus_de,row_wise_corr,n_valid_rows
filler,0.0029236842105263157,0.09871494047855275,0.09829385964912281,0.5305188562664607,-0.0953701754385965,-0.005492300180896387,1140
Apostro,2.0618482456140352,2.7636518124443827,0.0013710526315789473,0.04629206479687307,2.0604771929824564,-0.0039348829850749684,1140
netspeak,0.0012017543859649123,0.04057589812649784,0.1372157894736842,0.7047573439742788,-0.13601403508771928,0.04886687433892676,1140
reward,0.03719473684210527,0.2913342482812764,0.5224798245614035,1.41919705331958,-0.48528508771929824,0.12172244300166661,1140
they,2.681652631578947,4.246735481694805,10.533556140350878,4.649661577591894,-7.851903508771931,0.12190279522775174,1140
leisure,0.07930350877192982,0.45698257102949535,0.9706412280701754,1.7626362216144864,-0.8913377192982456,0.15464797962464527,1140
risk,0.1606798245614035,0.7096301390669211,0.7290298245614035,1.4182242606666366,-0.56835,0.17271303880532626,1140
shehe,0.6731578947368422,2.008841071589133,10.019093859649123,4.743621595474383,-9.34593596491228,0.19850181274259263,1140
power,0.7246473684210526,1.6108760529000796,1.5266412280701755,2.2375589448854627,-0.801993859649123,0.23003257573184588,1140
sexual,0.010728070175438597,0.18803813546151765,0.10950438596491227,0.7139603866423756,-0.09877631578947367,0.2475444173285005,1140
Dic,96.6762105263158,3.4496423004847676,95.84226228070176,3.86401293795766,0.8339482456140388,0.2595123099602642,1140
home,0.07615087719298244,0.5459475255532368,0.7523175438596491,1.6692160380794019,-0.6761666666666667,0.2657158435504288,1140
focusfuture,1.04764649122807,2.0446682501872857,0.6172824561403508,1.450775866127967,0.43036403508771925,0.3195101683676992,1140
ipron,10.070726315789473,4.676323399997193,5.994377192982456,4.0005914007283,4.0763491228070174,0.3229271169088101,1140
adj,5.014768421052631,3.6110865370315874,7.800241228070175,4.361699255124431,-2.785472807017544,0.34276590651646555,1140
conj,6.9019429824561405,3.958469321246103,19.025741228070178,6.2026733239836345,-12.123798245614037,0.3627454256971989,1140
number,0.17932543859649122,0.6346721691568535,0.2687210526315789,0.8187453705649531,-0.0893956140350877,0.3646143307615652,1140
motion,0.8569640350877192,1.521629103508451,1.599898245614035,2.0864007151031347,-0.7429342105263157,0.3678540756562484,1140
space,4.811081578947368,4.052390465190206,8.08290438596491,4.78713933106679,-3.271822807017543,0.37161342580084344,1140
money,0.1373640350877193,0.8311976074442857,0.48773684210526314,1.3537498854886774,-0.3503728070175438,0.3818645975480902,1140
adverb,9.061709649122808,4.82578060837339,6.98575350877193,4.251946771163498,2.0759561403508773,0.4034391183632406,1140
discrep,4.100439473684211,3.341795442100334,3.557355263157894,3.417411536956331,0.5430842105263167,0.41320548487604686,1140
verb,21.090839473684213,5.69485077658196,19.030547368421054,5.807212346281502,2.0602921052631586,0.4144799565284197,1140
health,0.7545815789473684,1.9543330124696663,0.6578298245614036,1.4422650617443131,0.09675175438596484,0.4212702422906735,1140
Authentic,46.605624119718314,34.495604950549925,24.122043898156278,32.84830201200489,22.483580221562036,0.4373895153511283,1135
prep,12.46697543859649,4.664279802945876,8.61056754385965,4.476469456335238,3.85640789473684,0.4650438966950525,1140
AllPunc,11.802065789473684,5.17736040082082,15.72819561403509,4.200326953846348,-3.926129824561407,0.4786101591683106,1140
Comma,3.225649122807017,3.3365516699466817,9.44553947368421,3.9385941501905775,-6.219890350877193,0.4812259374411664,1140
article,4.329664912280702,3.243058950640261,7.92043245614035,4.444693081226532,-3.5907675438596485,0.490450316118628,1140
focuspresent,7.815998245614036,4.291296524101648,6.855864912280701,3.6854039886334067,0.9601333333333351,0.4968615777783177,1140
auxverb,12.111076315789473,4.29983154174794,10.006441228070177,4.739675923939357,2.1046350877192967,0.5053983566314126,1140
time,2.281256140350877,2.7193452204068898,4.247847368421053,3.6202298557502415,-1.9665912280701758,0.5066687950313432,1140
work,0.7589622807017544,1.713582281289138,1.654740350877193,2.2551697780783013,-0.8957780701754385,0.5192710666508946,1140
Analytic,12.809476315789473,17.313297232652243,8.688005263157896,18.572737864940553,4.121471052631577,0.5316518076285387,1140
function,68.1063701754386,5.163888378107185,65.9324403508772,5.943175383210226,2.173929824561398,0.5384829694393813,1140
Tone,46.41210881392818,37.57721527426032,66.80033492822967,39.71049398040031,-20.388226114301496,0.5769235078389,896
cogproc,20.540784210526315,7.599038633393943,24.667612280701757,7.281710417397421,-4.126828070175442,0.5781566176431866,1140
tentat,3.359400877192982,3.3074802516834154,6.615094736842106,4.389869425119015,-3.2556938596491234,0.5814560695935329,1140
friend,0.16820526315789472,0.7733173503108884,0.2988464912280701,1.05170259641432,-0.1306412280701754,0.5837643260769343,1140
cause,2.4267736842105263,3.1373637389633924,4.526852631578947,3.6867813276242933,-2.100078947368421,0.585181673021921,1140
assent,0.5576263157894736,1.299723359776818,1.4351184210526315,2.0591985124363266,-0.8774921052631579,0.5856238714382326,1140
focuspast,1.9505298245614038,2.8454745778687953,1.727828947368421,2.398574282344282,0.22270087719298282,0.5945466411503668,1140
insight,6.980950877192983,4.509505313382115,5.692292105263157,3.615249074139644,1.2886587719298257,0.6154296298924182,1140
pronoun,25.602108771929828,5.772459697949676,25.858621929824558,6.27898010387908,-0.25651315789473017,0.6671819178177218,1140
Clout,82.99480175438596,25.593149808622602,76.8675048287972,21.42668905972519,6.127296925588766,0.709176870913794,1139
differ,3.9059798245614035,3.5473131555903517,5.044808771929824,3.8784906614086534,-1.1388289473684203,0.716058079281399,1140
relig,0.3724140350877193,1.4761387903366827,0.7807991228070177,1.9819008884638247,-0.4083850877192984,0.723721229881795,1140
female,1.0805780701754386,2.7369074066930037,0.5100096491228071,1.5160381703255317,0.5705684210526315,0.7609581362854346,1140
nonflu,0.04108070175438596,0.3767122088564776,0.03359912280701754,0.2947852119054502,0.0074815789473684224,0.7929543002534644,1140
ppron,15.531401754385968,4.791181599776175,16.706058771929825,5.506830938252546,-1.1746570175438578,0.8170056308192175,1140
affiliation,3.493362280701754,3.398325475854288,3.1714499999999997,3.31881180041796,0.3219122807017545,0.8556967977940103,1140
male,0.37760964912280703,1.5513906365560888,0.33426403508771935,1.2750098236896898,0.04334561403508769,0.897464319431206,1140
family,1.6825912280701754,2.53906015108836,1.8005736842105262,2.5616293457511827,-0.11798245614035086,0.9070109249576792,1140
i,3.257500877192982,3.243337793000842,3.6463587719298247,3.5635768316641085,-0.3888578947368426,0.9293911880098654,1140
Period,3.6404078947368417,2.5983770080174344,3.527086842105263,2.5568760001362105,0.11332105263157866,0.9378410589496591,1140
we,0.6460912280701755,1.6228171968931966,0.6896298245614035,1.712593770824907,-0.04353859649122804,0.9563003920509049,1140
WPS,20.432658771929823,13.320894325117598,21.011299122807017,14.204503359315678,-0.578640350877194,0.9575322577625178,1140
negate,1.3245350877192985,2.0584267067613604,1.2840780701754388,1.9407843675728276,0.040457017543859664,0.9641831842307669,1140
QMark,2.801671052631579,3.2095605353757093,2.7262333333333335,3.265391272610774,0.07543771929824539,0.9790103663426327,1140
WC,49.213157894736845,30.823511353814556,50.12982456140351,31.384874504171464,-0.9166666666666643,0.9904433590093886,1140
Exclam,0.001486842105263158,0.05020156739008307,0.0013710526315789473,0.04629206479687307,0.0001157894736842106,1.0,1140
Emoji,0.0,0.0,0.0,0.0,0.0,,1140
OtherP,0.07099035087719298,0.5244613582760155,0.0,0.0,0.07099035087719298,,1140
death,0.0,0.0,0.06841842105263157,0.46279749174015783,-0.06841842105263157,,1140
swear,0.0,0.0,0.0021149122807017544,0.058747341833584724,-0.0021149122807017544,,1140
