feature,n_dimensions,d1_illness_beliefs,d2_lack_of_knowledge,d3_cultural_factors,d4_family_system,d5_ambiguity_tolerance
time,4,1.3795045304650797,0.9865847240101977,0.9780228046204931,0.11588428270640547,1.3520692474185776
cause,3,1.5251744840733665,4.326434931982671,0.2532138366539104,0.8178955859711857,0.021223369754281515
QMark,3,0.060758085854980076,2.688001974619736,0.611391892490456,20.010964197777962,5.540990518201819
i,3,1.438622647951753,2.608605249479267,1.09585396590285,0.13046900436855308,-0.03362460828801911
Social,2,-0.0785977644899004,0.09415896590087408,-0.11264738062184518,1.3901112229040216,0.8277247399229144
Drives,2,-0.14109153291984064,0.22915160303378315,-0.6470158880347959,0.8251492463809496,1.8329175583344355
Period,2,1.8768527285531074,0.16136723295154118,0.6160581961610418,0.9688508721248551,0.16630205286131935
allure,2,0.6790513605040039,-0.06535723547828554,1.999801758644857,-0.175243542502073,0.9419046455834803
adj,2,1.7639810685198205,1.4227975880140165,0.2652885459620891,0.3234412129868574,-0.0190073788930724
WC,2,-0.13501089276482073,2.5282401451081737,0.24151132965039768,1.95878743684687,0.19005010535483277
auxverb,2,0.3906967534574502,2.051140134849793,1.1492991162211297,0.0273473102699005,0.7691844487331679
discrep,2,0.07805212361585658,1.517639014172673,1.4494695054391704,0.023715718696496687,-0.03241419890615582
differ,2,2.3512582348505973,0.11329479339688697,0.1499696792109756,-0.04611427211384743,1.251855250746619
focuspresent,2,-0.28661373513888444,0.5767846482978838,1.863801144308921,0.6567839334332297,0.40739936033443586
we,2,0.4484795221706574,0.4900510661040024,2.2899647882319862,0.21979848123368576,1.9741708433624585
